path,addition_commit,addition_commit_files,current_reachability,decision,automatic_publication,count_as_missing_page
content/sectors-v10/aac-home-school-guide.json,45af8668fc66682173118f30d4df1c209ee100e2,content/sectors-v10/aac-home-school-guide.json,unwired-content,manual-review,false,false
content/sectors-v10/inclusive-school-transition.json,02a6c9ae827940b6beb7c235b67021da7ff20d4f,content/sectors-v10/inclusive-school-transition.json,unwired-content,manual-review,false,false
content/sectors-v10/mental-health-foundations.json,e23695d9c03898c271e1dcae44ca6a78b82445f6,content/sectors-v10/mental-health-foundations.json,unwired-content,manual-review,false,false
